MutualExclusion,NThreads,val_a,val_b,nRectangles/Sub-Intervals,Time,Result
./trap_semaphore,1,1.00,100.00,40,100.00,333434.07
./trap_semaphore,2,1.00,100.00,40,112.00,333434.07
./trap_semaphore,4,1.00,100.00,40,160.00,333434.07
./trap_semaphore,6,1.00,100.00,40,212.00,243901.53
./trap_semaphore,8,1.00,100.00,40,222.00,333434.07
./trap_semaphore,10,1.00,100.00,40,510.00,333434.07
./trap_semaphore,12,1.00,100.00,40,364.00,243901.53
./trap_semaphore,14,1.00,100.00,40,431.00,115880.06
./trap_semaphore,16,1.00,100.00,40,490.00,172030.39
./trap_semaphore,18,1.00,100.00,40,594.00,243901.53
./trap_semaphore,20,1.00,100.00,40,609.00,333434.07
./trap_semaphore,22,1.00,100.00,40,642.00,56886.01
./trap_semaphore,24,1.00,100.00,40,750.00,73509.93
./trap_semaphore,26,1.00,100.00,40,822.00,93093.76
./trap_semaphore,28,1.00,100.00,40,896.00,115880.06
./trap_semaphore,30,1.00,100.00,40,1021.00,142111.41
./trap_semaphore,32,1.00,100.00,40,1045.00,172030.39
./trap_semaphore,34,1.00,100.00,40,1074.00,205879.58
./trap_semaphore,36,1.00,100.00,40,1159.00,243901.53
./trap_semaphore,38,1.00,100.00,40,1236.00,286338.84
./trap_semaphore,40,1.00,100.00,40,1312.00,333434.07
./trap_semaphore,42,1.00,100.00,40,1691.00,103.95
./trap_semaphore,44,1.00,100.00,40,1473.00,108.90
./trap_semaphore,46,1.00,100.00,40,1541.00,113.85
./trap_semaphore,48,1.00,100.00,40,2504.00,118.80
